pitches,1,2,3,4,5,6,7,8,9,10,11,12
495,,,,,,,,,,,FFFFFBFBBFX,FBBFFFFFFBFX
496,,,,,,,,,,,FFFFFBFBFBX,FBBFFFFFFFBX
497,,,,,,,,,,,FFFFFBFBFFX,FBFBBFFFFFFX
498,,,,,,,,,,,FFFFFBFFBBX,FBFBFBFFFFFX
499,,,,,,,,,,,FFFFFBFFBFX,FBFBFFBFFFFX
500,,,,,,,,,,,FFFFFBFFFBX,FBFBFFFBFFFX
501,,,,,,,,,,,FFFFFBFFFFX,FBFBFFFFBFFX
502,,,,,,,,,,,FFFFFFBBBFX,FBFBFFFFFBFX
503,,,,,,,,,,,FFFFFFBBFBX,FBFBFFFFFFBX
504,,,,,,,,,,,FFFFFFBBFFX,FBFBFFFFFFFX
505,,,,,,,,,,,FFFFFFBFBBX,FBFFBBFFFFFX
506,,,,,,,,,,,FFFFFFBFBFX,FBFFBFBFFFFX
507,,,,,,,,,,,FFFFFFBFFBX,FBFFBFFBFFFX
508,,,,,,,,,,,FFFFFFBFFFX,FBFFBFFFBFFX
509,,,,,,,,,,,FFFFFFFBBBX,FBFFBFFFFBFX
510,,,,,,,,,,,FFFFFFFBBFX,FBFFBFFFFFBX
511,,,,,,,,,,,FFFFFFFBFBX,FBFFBFFFFFFX
512,,,,,,,,,,,FFFFFFFBFFX,FBFFFBBFFFFX
513,,,,,,,,,,,,FBFFFBFBFFFX
514,,,,,,,,,,,,FBFFFBFFBFFX
515,,,,,,,,,,,,FBFFFBFFFBFX
516,,,,,,,,,,,,FBFFFBFFFFBX
517,,,,,,,,,,,,FBFFFBFFFFFX
518,,,,,,,,,,,,FBFFFFBBFFFX
519,,,,,,,,,,,,FBFFFFBFBFFX
520,,,,,,,,,,,,FBFFFFBFFBFX
521,,,,,,,,,,,,FBFFFFBFFFBX
522,,,,,,,,,,,,FBFFFFBFFFFX
523,,,,,,,,,,,,FBFFFFFBBFFX
524,,,,,,,,,,,,FBFFFFFBFBFX
525,,,,,,,,,,,,FBFFFFFBFFBX
526,,,,,,,,,,,,FBFFFFFBFFFX
527,,,,,,,,,,,,FBFFFFFFBBFX
528,,,,,,,,,,,,FBFFFFFFBFBX
529,,,,,,,,,,,,FBFFFFFFBFFX
530,,,,,,,,,,,,FBFFFFFFFBBX
531,,,,,,,,,,,,FBFFFFFFFBFX
532,,,,,,,,,,,,FFBBBFFFFFFX
533,,,,,,,,,,,,FFBBFBFFFFFX
534,,,,,,,,,,,,FFBBFFBFFFFX
535,,,,,,,,,,,,FFBBFFFBFFFX
536,,,,,,,,,,,,FFBBFFFFBFFX
537,,,,,,,,,,,,FFBBFFFFFBFX
538,,,,,,,,,,,,FFBBFFFFFFBX
539,,,,,,,,,,,,FFBBFFFFFFFX
540,,,,,,,,,,,,FFBFBBFFFFFX
541,,,,,,,,,,,,FFBFBFBFFFFX
542,,,,,,,,,,,,FFBFBFFBFFFX
543,,,,,,,,,,,,FFBFBFFFBFFX
544,,,,,,,,,,,,FFBFBFFFFBFX
545,,,,,,,,,,,,FFBFBFFFFFBX
546,,,,,,,,,,,,FFBFBFFFFFFX
547,,,,,,,,,,,,FFBFFBBFFFFX
548,,,,,,,,,,,,FFBFFBFBFFFX
549,,,,,,,,,,,,FFBFFBFFBFFX
550,,,,,,,,,,,,FFBFFBFFFBFX
551,,,,,,,,,,,,FFBFFBFFFFBX
552,,,,,,,,,,,,FFBFFBFFFFFX
553,,,,,,,,,,,,FFBFFFBBFFFX
554,,,,,,,,,,,,FFBFFFBFBFFX
555,,,,,,,,,,,,FFBFFFBFFBFX
556,,,,,,,,,,,,FFBFFFBFFFBX
557,,,,,,,,,,,,FFBFFFBFFFFX
558,,,,,,,,,,,,FFBFFFFBBFFX
559,,,,,,,,,,,,FFBFFFFBFBFX
560,,,,,,,,,,,,FFBFFFFBFFBX
561,,,,,,,,,,,,FFBFFFFBFFFX
562,,,,,,,,,,,,FFBFFFFFBBFX
563,,,,,,,,,,,,FFBFFFFFBFBX
564,,,,,,,,,,,,FFBFFFFFBFFX
565,,,,,,,,,,,,FFBFFFFFFBBX
566,,,,,,,,,,,,FFBFFFFFFBFX
567,,,,,,,,,,,,FFBFFFFFFFBX
568,,,,,,,,,,,,FFFBBBFFFFFX
569,,,,,,,,,,,,FFFBBFBFFFFX
570,,,,,,,,,,,,FFFBBFFBFFFX
571,,,,,,,,,,,,FFFBBFFFBFFX
572,,,,,,,,,,,,FFFBBFFFFBFX
573,,,,,,,,,,,,FFFBBFFFFFBX
574,,,,,,,,,,,,FFFBBFFFFFFX
575,,,,,,,,,,,,FFFBFBBFFFFX
576,,,,,,,,,,,,FFFBFBFBFFFX
577,,,,,,,,,,,,FFFBFBFFBFFX
578,,,,,,,,,,,,FFFBFBFFFBFX
579,,,,,,,,,,,,FFFBFBFFFFBX
580,,,,,,,,,,,,FFFBFBFFFFFX
581,,,,,,,,,,,,FFFBFFBBFFFX
582,,,,,,,,,,,,FFFBFFBFBFFX
583,,,,,,,,,,,,FFFBFFBFFBFX
584,,,,,,,,,,,,FFFBFFBFFFBX
585,,,,,,,,,,,,FFFBFFBFFFFX
586,,,,,,,,,,,,FFFBFFFBBFFX
587,,,,,,,,,,,,FFFBFFFBFBFX
588,,,,,,,,,,,,FFFBFFFBFFBX
589,,,,,,,,,,,,FFFBFFFBFFFX
590,,,,,,,,,,,,FFFBFFFFBBFX
591,,,,,,,,,,,,FFFBFFFFBFBX
592,,,,,,,,,,,,FFFBFFFFBFFX
593,,,,,,,,,,,,FFFBFFFFFBBX
594,,,,,,,,,,,,FFFBFFFFFBFX
595,,,,,,,,,,,,FFFBFFFFFFBX
596,,,,,,,,,,,,FFFBFFFFFFFX
597,,,,,,,,,,,,FFFFBBBFFFFX
598,,,,,,,,,,,,FFFFBBFBFFFX
599,,,,,,,,,,,,FFFFBBFFBFFX
600,,,,,,,,,,,,FFFFBBFFFBFX
601,,,,,,,,,,,,FFFFBBFFFFBX
602,,,,,,,,,,,,FFFFBBFFFFFX
603,,,,,,,,,,,,FFFFBFBBFFFX
604,,,,,,,,,,,,FFFFBFBFBFFX
605,,,,,,,,,,,,FFFFBFBFFBFX
606,,,,,,,,,,,,FFFFBFBFFFBX
607,,,,,,,,,,,,FFFFBFBFFFFX
608,,,,,,,,,,,,FFFFBFFBBFFX
609,,,,,,,,,,,,FFFFBFFBFBFX
610,,,,,,,,,,,,FFFFBFFBFFBX
611,,,,,,,,,,,,FFFFBFFBFFFX
612,,,,,,,,,,,,FFFFBFFFBBFX
613,,,,,,,,,,,,FFFFBFFFBFBX
614,,,,,,,,,,,,FFFFBFFFBFFX
615,,,,,,,,,,,,FFFFBFFFFBBX
616,,,,,,,,,,,,FFFFBFFFFBFX
617,,,,,,,,,,,,FFFFBFFFFFBX
618,,,,,,,,,,,,FFFFBFFFFFFX
619,,,,,,,,,,,,FFFFFBBBFFFX
620,,,,,,,,,,,,FFFFFBBFBFFX
621,,,,,,,,,,,,FFFFFBBFFBFX
622,,,,,,,,,,,,FFFFFBBFFFBX
623,,,,,,,,,,,,FFFFFBBFFFFX
624,,,,,,,,,,,,FFFFFBFBBFFX
625,,,,,,,,,,,,FFFFFBFBFBFX
626,,,,,,,,,,,,FFFFFBFBFFBX
627,,,,,,,,,,,,FFFFFBFBFFFX
628,,,,,,,,,,,,FFFFFBFFBBFX
629,,,,,,,,,,,,FFFFFBFFBFBX
630,,,,,,,,,,,,FFFFFBFFBFFX
631,,,,,,,,,,,,FFFFFBFFFBBX
632,,,,,,,,,,,,FFFFFBFFFBFX
633,,,,,,,,,,,,FFFFFBFFFFBX
634,,,,,,,,,,,,FFFFFBFFFFFX
635,,,,,,,,,,,,FFFFFFBBBFFX
636,,,,,,,,,,,,FFFFFFBBFBFX
637,,,,,,,,,,,,FFFFFFBBFFBX
638,,,,,,,,,,,,FFFFFFBBFFFX
639,,,,,,,,,,,,FFFFFFBFBBFX
640,,,,,,,,,,,,FFFFFFBFBFBX
641,,,,,,,,,,,,FFFFFFBFBFFX
642,,,,,,,,,,,,FFFFFFBFFBBX
643,,,,,,,,,,,,FFFFFFBFFBFX
644,,,,,,,,,,,,FFFFFFBFFFBX
645,,,,,,,,,,,,FFFFFFBFFFFX
646,,,,,,,,,,,,FFFFFFFBBBFX
647,,,,,,,,,,,,FFFFFFFBBFBX
648,,,,,,,,,,,,FFFFFFFBBFFX
649,,,,,,,,,,,,FFFFFFFBFBBX
650,,,,,,,,,,,,FFFFFFFBFBFX
651,,,,,,,,,,,,FFFFFFFBFFBX
652,,,,,,,,,,,,FFFFFFFBFFFX
